feature,value,shap_value,abs_shap
ethnicity_African American,0.0,0.009519413961932833,0.009519413961932833
heart_rate_apache,100.0,0.009472528004017104,0.009472528004017104
h1_resprate_min,13.0,0.009260745895012254,0.009260745895012254
d1_bilirubin_min,0.6,0.009105598524598291,0.009105598524598291
h1_mbp_min,32.0,0.008908547066304342,0.008908547066304342
d1_albumin_max,3.0,0.008839816517132204,0.008839816517132204
icu_type_Neuro ICU,0.0,-0.008647720610521818,0.008647720610521818
d1_sodium_min,135.0,-0.008517081824484525,0.008517081824484525
hospital_admit_source_Direct Admit,0.0,-0.008505149292975496,0.008505149292975496
sodium_apache,135.0,-0.008030997743947832,0.008030997743947832
solid_tumor_with_metastasis,0.0,-0.007981054889607464,0.007981054889607464
d1_mbp_invasive_min_missing,0.0,0.007737461112932146,0.007737461112932146
pao2_apache,103.0,0.007708479491315003,0.007708479491315003
d1_pao2fio2ratio_min,191.25,-0.0075254483563296564,0.0075254483563296564
d1_sysbp_invasive_min_missing,0.0,0.007347124453934201,0.007347124453934201
ethnicity_Caucasian,1.0,0.007318813937878052,0.007318813937878052
h1_diasbp_invasive_max,84.0,-0.007210696879856463,0.007210696879856463
d1_arterial_ph_min_missing,0.0,0.007041660296297331,0.007041660296297331
h1_mbp_noninvasive_max,122.0,-0.006937163345689691,0.006937163345689691
d1_diasbp_invasive_max_missing,0.0,0.006880916122941066,0.006880916122941066
h1_sysbp_invasive_max,94.0,-0.00684014699537228,0.00684014699537228
apache_2_bodysystem_Metabolic,0.0,0.006021135816615529,0.006021135816615529
d1_albumin_min,2.9,-0.005831401520801965,0.005831401520801965
apache_3j_bodysystem_Gastrointestinal,0.0,0.005739618642169191,0.005739618642169191
hospital_admit_source_Operating Room,0.0,0.005575140933892821,0.005575140933892821
albumin_apache,2.9,0.005405348952643805,0.005405348952643805
h1_potassium_min,4.1,0.005372705373172222,0.005372705373172222
apache_2_bodysystem_Neurologic,0.0,-0.005317006611871694,0.005317006611871694
apache_3j_bodysystem_Trauma,0.0,-0.005231089878126583,0.005231089878126583
h1_arterial_pco2_min,41.0,0.0051554641637146245,0.0051554641637146245
d1_albumin_max_missing,1.0,0.004982618286966085,0.004982618286966085
h1_mbp_invasive_max,89.0,0.0049262164788959565,0.0049262164788959565
bilirubin_apache_missing,1.0,0.004903313453594915,0.004903313453594915
fio2_apache,0.5,0.004733709281986747,0.004733709281986747
h1_arterial_ph_min,7.34,0.004717997338261832,0.004717997338261832
apache_2_bodysystem_Undefined diagnoses,0.0,0.004592199973038053,0.004592199973038053
height,177.8,0.004555545993775025,0.004555545993775025
h1_glucose_max_missing,0.0,0.00454588490671053,0.00454588490671053
d1_arterial_pco2_max,41.0,0.004529986256175233,0.004529986256175233
d1_arterial_pco2_min,36.0,-0.004366939505393948,0.004366939505393948
d1_potassium_max_missing,0.0,-0.004343573900384827,0.004343573900384827
d1_arterial_pco2_max_missing,0.0,0.0043065243739216505,0.0043065243739216505
h1_potassium_max,4.1,0.004206263524697483,0.004206263524697483
